sample,src,dst,mae,rmse,max_abs,p95_abs,p99_abs,nmae
2d_1100,2d_src_1100.png,2d_dst_1100.png,1.3869503736495972,1.8738809425046536,15.0,4.0,6.0,0.005439021073135675
2d_600,2d_src_600.png,2d_dst_600.png,1.6230077743530273,2.449548531800004,36.0,5.0,9.0,0.006364736370011872
3d_1400,3d_src_1400.png,3d_dst_1400.png,0.8043017387390137,1.2484473599270127,41.0,2.0,4.0,0.003154124465643191
3d_950,3d_src_950.png,3d_dst_950.png,0.660107433795929,0.9903532178843357,21.0,2.0,3.0,0.00258865660312129
